2024 Halloween Harvest Sell Through by Brand,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,_sheet,Halloween Harvest Sell Through by Segment - 2024 MSS Items,Halloween Harvest Performance by Item - 2024 MSS Items,Unnamed: 0,2024 Halloween Harvest Sell Thru by Item,2024 Halloween Harvest Sell Thru by Vendor,Encore Halloween Harvest 2024 Items,All ,635222,868061,498786,260202,0,2262271,2231407.78,3155883.59,1758064.54,1009134.18,0.1,8154490.09,1059357.44,1501089.85,834455.98,491695.28,0.2,3886598.55,Unnamed: 26,Unnamed: 27,Unnamed: 28,Encore Hollaween Harvest 2024 (Actual Sales from Ahold),Unnamed: 21,Unnamed: 22,Unnamed: 23,2024 Halloween Harvest Sales,Unnamed: 24
Sales as of 09/22/2024,,,,,,,,,,,,,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Halloween Harvest,,,,,,,,,,,,,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand ,Gross Sales,Net Sales,Avg Disc,Units Shipped,Units Sold,Sell Thru%,Avg Price,Retail Buy,Spend,GP %,Units Ordered,% Order Shipped,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Company,884513.51,709971.1200000001,0.19733151390757153,631288,181682,0.28779574457299995,3.90776807829064,2680810.044961132,1049265.52,0.6086013173621883,635222,0.9938068895598704,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Foods,370868.2100000001,368901.91000000015,0.005301883383318051,489427,91112,0.18616055101169326,4.048883901132673,1738624.1708965334,817305.5700000001,0.5299124539499811,498786,0.9812364420813736,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop & Shop,1118267.059999999,990564.1799999992,0.11419712210784405,861113,230861,0.2680960570796167,4.290738496324625,3497749.865735881,1476406.7900000005,0.5778981211712851,868061,0.9919959542013752,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Ahold,2373648.7799999993,2069437.2099999995,0.12816199791782168,1981828,503655,0.25413658501141373,4.108838808311244,7917184.081593547,3342977.880000001,0.5777567067346581,2002069,0.9898899588375826,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannaford,283840.2999999994,283840.2999999994,0,251204,71434,0.284366490979443,3.9734622168715092,952284.5591903927,473302.54000000015,0.5029820283945489,260202,0.9654191743337869,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Delhaize,283840.2999999994,283840.2999999994,0,251204,71434,0.284366490979443,3.9734622168715092,952284.5591903927,473302.54000000015,0.5029820283945489,260202,0.9654191743337869,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ADUSA,2657489.0799999987,2353277.509999999,0.11447330951967638,2233032,575089,0.25753728562779216,4.092023165110094,8869468.64078394,3816280.420000001,0.5697284048728883,2262271,0.9870753769110774,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Halloween,,,,,,,,,,,,,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand ,Gross Sales,Net Sales,Avg Disc,Units Shipped,Units Sold,Sell Thru%,Avg Price,Retail Buy,Spend,GP %,Units Ordered,% Order Shipped,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Company,438213.5700000001,357791.8600000002,0.18352172435006953,270724,85778,0.31684667779731385,4.171137820886477,1285677.228391598,508501.1399999998,0.6044877137350075,276454,0.9792732244785751,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Foods,187302.44000000003,185347.01000000004,0.010439960098757917,230616,46758,0.20275262774482256,3.9639635998117977,868347.9691524182,417709.3600000001,0.518960860347586,239262,0.9638638814354139,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop & Shop,616202.5899999993,546499.8199999995,0.11311664561487789,389173,124090,0.3188556246193852,4.4040601176565355,1794946.9200049425,765488.6900000004,0.5735312941744859,398507,0.9765775758016798,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Ahold,1241718.5999999994,1089638.6899999997,0.12247534183670905,890513,256626,0.2881777132955948,4.246018291209775,3948972.1175489584,1691699.1900000004,0.5716102470103026,914223,0.9740654085491177,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannaford,162670.65999999974,162670.65999999974,0,139582,44492,0.3187517015087905,3.6561777398183883,488007.6750189354,243974.42000000007,0.5000602808336293,147412,0.9468835644316609,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Delhaize,162670.65999999974,162670.65999999974,0,139582,44492,0.3187517015087905,3.6561777398183883,488007.6750189354,243974.42000000007,0.5000602808336293,147412,0.9468835644316609,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ADUSA,1404389.259999999,1252309.3499999994,0.10828900101386407,1030095,301118,0.2923206112057626,4.15886579347631,4436979.792567894,1935673.6100000006,0.5637407199279281,1061635,0.9702911075840567,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Harvest,,,,,,,,,,,,,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand ,Gross Sales,Net Sales,Avg Disc,Units Shipped,Units Sold,Sell Thru%,Avg Price,Retail Buy,Spend,GP %,Units Ordered,% Order Shipped,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Company,446299.93999999994,352179.25999999995,0.2108910881771573,360564,95904,0.2659832928412154,3.6722061644978305,1395132.8165695341,540764.3800000001,0.6123921869104366,358768,1.0050060206038443,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Foods,183565.77000000008,183554.90000000008,5.9215833104420135e-05,258811,44354,0.17137602343022515,4.1384069080579,870276.2017441151,399596.21,0.5408397825895138,259524,0.9972526625668532,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop & Shop,502064.4699999997,444064.35999999975,0.1155232315084952,471940,106771,0.22623850489469,4.159035318579012,1702802.9457309388,710918.1000000001,0.5825012507863415,469554,1.0050814176857188,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Ahold,1131930.1799999997,979798.5199999998,0.1344002153913768,1091315,247029,0.2263590255792324,3.9663299450671774,3968211.9640445877,1651278.6900000002,0.5838733653942871,1087846,1.003188870483506,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannaford,121169.63999999965,121169.63999999965,0,111622,26942,0.24136818906667146,4.497425580877428,464276.88417145726,229328.1200000001,0.506053116537869,112790,0.989644472027662,,,,,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
